"Level 1","Level 2","Level 3","Level 4","Priority","Progress","Start","Due","Duration (Days)","Milestone","Resources",
"Integration.qlik.com demo platform","Introduction to a SaaS multi-tenant scenario","!comment
In the end you want to provide an integrated page of Qlik Sense in your software. The user should be able to access only his correct data in a seamless way. The customer should not authenticate again. Whenever he is authenticated in your software, the Qlik Sense content should be shown seamlessly. You also want to make sure that the right Qlik Sense content is shown in an automated way with a minimum of manual creation.",,,,,,,,,
"Integration.qlik.com demo platform","Video: How to create a multi-tenant SaaS platform with Qlik Sense embedded?","https://youtu.be/OulQS-1fH-A How to create a multi-tenant SaaS platform with Qlik Sense embedded?",,"","","","","         0","0","Technical - 1 hour, CTO, Integration summary",
"Integration.qlik.com demo platform","Video: How to create a multi-tenant SaaS platform with Qlik Sense embedded?","simple intro to saas automation.gif",,"","","","","         0","0","Technical - 1 hour, CTO, Integration summary",
"Integration.qlik.com demo platform","Video: How to create a multi-tenant SaaS platform with Qlik Sense embedded?","!comment 
APIs are our secret sauce so this website is specifically designed to illustrate the unique selling points of our Qlik Sense APIs. Our goal is to illustrate the power of Qlik Sense APIs in language that can be easily understood by non-technical business users or decision-makers via our step-by-step walk-through. This learning environment was developed using our experiences with AFAS, as well as other key customer accounts. We are eager to explain, excite and reassure senior executives and management about the Qlik platform by modeling its ease of use and full automation capabilities.

Our presentation precedes our full demonstration environment experience, aiming to bridge any knowledge gaps for our non-technical prospects while providing a clear and simple pathway towards understanding how to embed Qlik Sense in a multi-tenant SaaS application platform. A key outcome for using this demonstration asset is to mitigate potential risk early in the sales cycle, build enthusiasm/interest for Qlik Sense and its capabilities, and showcase our readiness to support the customer or partner’s vision for embedding analytics within their application suite.

This prospect experience is supported by several linked assets. We have a demo website which simulates the SaaS platform of an OEM partner, including videos and documentation illustrating each integration topic and a presentation taking the audience through a journey which highlights key aspects of Qlik Sense, its APIs and the overall value of Qlik.",,,,,,,,,
"Integration.qlik.com demo platform","Given the goals, what are typical integration topics you have to deal with?","integrationTopics.png",,"","","","","         0","0","Technical - 2 hours, CTO",
"Integration.qlik.com demo platform","Given the goals, what are typical integration topics you have to deal with?","!comment
When embedding Qlik Sense in your platform, there are several integration topics to handle:
 - Data: Load your data in a Qlik Sense app. The data can be a combination of different data sources. Qlik Sense has a range of connectors that allow you to analyze ALL your data in a Qlik Sense App. While loading the data, you have the possibility to create an optimized associative data model. That model is then loaded in the memory when the app opens. With direct discovery you can also your real time SQL queries. Also incremental or delta loads are possible in order to reduce the reload time.
 - Security: When Qlik Sense is embedded, normally Single Sign-On must be provided for authentication. After that, authorization must be applied (What can a user see and what rights does he have?). Qlik Sense offers a flexible and robust security rule system to setup authorization. The good thing is that users, roles, groups,…. that are already defined in your SaaS platform, can be re-used in Qlik Sense.
 - Web: Qlik Sense is built on the newest web technologies (HTML5, JavaScript, CSS). This allows you to create 1 app that can be easily integrated in your SaaS platform. This can be with IFrame, and using our APIs for DIV tag embedding or using Qlik Sense for the data. Qlik Sense is also completely responsive. So there is no need to create mobile content. 1 App can be used on all platforms.
 - SaaS provisioning: Our APIs allow the automatic creation of customer content. Creation of Apps and streams, replacing the script with user specific script, copying apps, … can all be done automatically.
 - Architecture : Our server system allows clustering, scaling and high availability.
 - Dashboard: Qlik Sense offers a wide array of beautiful visualizations in order to show your data as you want it. With the open standard of Qlik Sense it is very easy to download or create additional visualizations. With our drag and drop and scalability possibilities it is very easy to create a beautiful and powerful dashboard.",,,,,,,,,
"Integration.qlik.com demo platform","In the multi-tenant SaaS platform with Qlik Sense demo you will see a screen divided into two parts","In the next slide you can play with a real SaaS automation demo. Here we give you an overview.",,"","","","","         0","0","Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes",
"Integration.qlik.com demo platform","In the multi-tenant SaaS platform with Qlik Sense demo you will see a screen divided into two parts","- The left side shows *the broker* (the API tool) in your SaaS platform, a piece of software that you already use today to mass maintain the SaaS applications for all of your customers.",,"","","","","         0","0","Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes",
"Integration.qlik.com demo platform","In the multi-tenant SaaS platform with Qlik Sense demo you will see a screen divided into two parts","- This broker executes its activities based on *your customers*, *their access rights*, and the relevant *template apps*. ",,"","","","","         0","0","Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes",
"Integration.qlik.com demo platform","In the multi-tenant SaaS platform with Qlik Sense demo you will see a screen divided into two parts","- The right side shows you the result of the activities of the broker: the apps and streams automatically created in Qlik Sense via the APIs.",,"","","","","         0","0","Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes",
"Integration.qlik.com demo platform","In the multi-tenant SaaS platform with Qlik Sense demo you will see a screen divided into two parts","SaaS logo.png example image of demo tool, explained by text on this slide",,"","","","","         0","0","Technical - 2 hours, CTO, Hosting Ops, Introduction - 30 minutes",
"Integration.qlik.com demo platform","In the multi-tenant SaaS platform with Qlik Sense demo you will see a screen divided into two parts","!comment
The left side of the screen will show the 'broker'. This is a software capability that is already in place and manages the current SaaS platform. This piece of software will maintain the control of the SaaS platform and will communicate with our Sense platform through our APIs. This means that the control stays completely in the existing platform.

In this demo, the broker will define following parameters:
 - Which customers need access to the applications?
 - What will be the roles and the access rights to the apps?
 - Which apps should be provided?

On the right side of the screen, the result of the activities of the broker will be shown:
 - Which streams were created.
Which apps were copied and published.",,,,,,,,,
"Integration.qlik.com demo platform","Now try it yourself in the multi-tenant SaaS platform with Qlik Sense demo below...","iframe generation_embedded This demo shows you how to copy an app (dashboard) which serves as a ""template layout"" for each of your customers. Besides creating a copy, we will also reload the app with data from the customer database.",,"","","","","         0","0","Hosting Ops, CTO, Introduction - 30 minutes",
"Integration.qlik.com demo platform","Now try it yourself in the multi-tenant SaaS platform with Qlik Sense demo below...","Open demo in [new tab](/generation)",,"","","","","         0","0","Hosting Ops, CTO, Introduction - 30 minutes",
"Integration.qlik.com demo platform","Now try it yourself in the multi-tenant SaaS platform with Qlik Sense demo below...","!comment 
<p> This demo shows you how to copy an app (dashboard) which serves as a ""template layout"" for each of your customers. Besides creating a copy, we will also reload the app with data from the customer database.

 In the demo you will see a screen divided into two parts:
                        <ul>
                            <li>The left side shows ""the broker"" in your SaaS platform, a piece of software that you already use today to mass maintain the SaaS applications for all of your customers. This broker executes its activities based on the list of your customers, their access rights, and the relevant template apps (depending on what the customer has configured in your platform).</li>
                            <li>The right side shows you the result of the activities of the broker: the apps and streams automatically created in Qlik Sense.</li>
                        </ul>
                        In order to finish the demo, you must complete the following steps:
                        <ol>
                            <li><b>Select your customers</b>. In your SaaS platform you have the ability to store which customers should receive which apps. We simulate this feature by letting you select the customers. By pressing the button, you also select an ""app"" to be used as a template for the layout.</li>
         <li><b>Select your apps</b> Which apps do your customers need to receive?</li>
                            <li><b>Press generate</b>, This will make a copy of the template app for each of your customers. It replaces the generic script with a customer specific one and reloads the app. Because you are able to insert a custom script, you can also specify specific data models like custom fields and tables or create them them on the fly in order to connect to big data sources. In the end we make a unique stream for each customer and publish the app into this stream.</li>
                            <li><b>Select a user and press the green button.</b> This allows you to test the single sign on and make sure that each customer can only see their own data (streams and apps). You can also test row level security by opening the ""row level security"" app in the ""everyone stream"". This demonstrates that each user only sees the values pertaining to the country of their group membership.</li>
                        </ol> </p>",,,,,,,,,
"Integration.qlik.com demo platform","integration demo architecture introduction","saas demo architecture introduction of components.png",,"","","","","         0","0","Technical - 1 day",
"Integration.qlik.com demo platform","integration demo architecture introduction","!comment
A user can be a computer or a human. What defines a user is the fact that it has a userID, that it belongs to a certain customer and that it has one or multiple groups. When that user logs on to the SaaS platform, he is authenticated.  At the point he needs to see Qlik Sense content, that user needs to be authenticated with Qlik Sense. At this point this information is passed through by means of a ticket. (There are other methods, but here we use ticketing). This ticket contains the userID and additional attributes ( like groups, specific script content,….). On this website thery are stored in a Mongo Database. Through APIs these can be fetched and passed to Qlik Sense. Based on the userID and group(s) the correct content will be shown and the user will have the correct rights based on the group membership.",,,,,,,,,
"Integration.qlik.com demo platform","integration demo architecture introduction 2","architecture - OEM SaaS scenario.png",,"","","","","         0","0","Technical - 1 hour",
"Integration.qlik.com demo platform","integration demo architecture introduction 2","External users connect to Qlik Sense via a login in your SaaS platform. ",,"","","","","         0","0","Technical - 1 hour",
"Integration.qlik.com demo platform","integration demo architecture introduction 2","Users connect to the Qlik Sense hub directly, via an IFrame or a DIV tag integration.",,"","","","","         0","0","Technical - 1 hour",
"Integration.qlik.com demo platform","integration demo architecture introduction 2","Single Sign On is enforced using a ticket with userID and his groups",,"","","","","         0","0","Technical - 1 hour",
"Integration.qlik.com demo platform","integration demo architecture introduction 2","An API tool creates the apps in Qlik Sense",,"","","","","         0","0","Technical - 1 hour",
"Integration.qlik.com demo platform","integration demo architecture introduction 2","!comment
This slide shows the process of an app generation when a user logs in to the SaaS platform:
 - A user logs in on the SaaS platform.
 - In the SaaS platform a user is automatically connected to the Qlik Sense Hub, embedded in the SaaS platform via an IFrame or a DIV tag integration.
 - Through Single Sign On, the user will be automatically connected to the Qlik Sense platform . This is done through ticketing. The ticket contains the userID and the group(s) of the user. 
Based on this information and through APIs, the correct apps and streams will be created in Qlik Sense and be provisioned to the user. ",,,,,,,,,
"Integration.qlik.com demo platform","integration demo architecture introduction 3","integrated Architecture saasdemo setup.png",,,,,,,,,
"Integration.qlik.com demo platform","integration demo architecture introduction 3","!comment
Integration.qlik.com has 3 servers running:
 - QRSMeteor server: This server runs on port 3000. This server hosts the admin panel that acts as the broker. Through this server the administration of the SaaS platform is being managed. (Adding customers and users, which apps should be provisioned,…)
 - Sense web integration: This server runs on port 3030. This is a webserver in where we are embedding our Qlik Sense environment.
 - Qlik Sense server: This server runs on port 443. This server contains all the Qlik Sense content that needs to be provisioned. (apps, app objects, streams). This server interacts with the 2 other servers. It interacts  with the QRS meteor server trough API calls. The QRS meteor server will send these calls in order to copy, reload and publish apps, create streams,…
It also interacts with the Sense web integration. The user needs to see its embedded content in the SaaS environment, through IFrame or DIV tag integration. Through Single Sign On the correct content will be shown.",,,,,,,,,
"Integration.qlik.com demo platform","integration demo architecture deep dive","integratedArchitecture.png",,,,,,,,,
"Integration.qlik.com demo platform","integration demo architecture deep dive","!comment
This slide gives a more in depth overview of the all the different aspects of embedding Qlik Sense in integration.qlik.com.",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","In this section we will explain the most common integration concepts and approaches. Please use the `change presentation` button above for more detailed information on a topic.",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","integrationTopics.png",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#App (dashboard)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Create a template Qlik Sense app per business process/area
 - you can use Qlik apps created via the Qlik hub or
- create an app, sheet, chart via the API on the fly
- next you publish them into the `templates stream`",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Template app contains the layout like sheets and charts",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#Data",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","Which processes do you have?",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","Create an app per process",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","Create a data model per process (star schema)",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","Ensure you re-use entities that multiple apps need",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","Extract sources only once",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","Document this in a matrix...",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","data - bus matrix dimensions to business process.png",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","You can extract the data from your source and let Qlik do the enrichments. Some ETL examples below:",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","ETL functionality.png Convert code to meaningfull descriptions

Create new business logic, like a calculation


Create classes


Create new field based on condition 

Append one table under the other (make 1 longer table, with extra row)


Left, right, inner, outer join tables


You will always get the expected result since you control the join. 
Store a loaded table onto the harddrive. This can be used to prevent double queries to the source system. (note that if you want to export to an external system, you can also use our REST API's directly)
",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#Web integration",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","You can integrate the Qlik Sense hub, apps, sheets or individual objects using an Iframe or DIV tag. All functionality is delivered via a webserver called the proxy (QPS). The QPS also performs the authentication check and does the load balancing over the engines, and redirects the user to your SaaS platform to request the ticket/token if not yet authenticated via a session cookie. (You can also request a token/ticket up front, so no redirects will occur).",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Make sure you checkout the `EMBED` menu option in the top of the screen.",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","#Automation",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","In this chapter we demonstrate some key API calls used in SaaS automation, make sure you don't miss the generic [Qlik Sense API introduction](https://integration.qlik.com/?selection=W4b5oHFcbgoPnWFEz)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Now we have the template app ready, we need to make it customer specific.",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","> All examples relate to a multi-tenant SaaS platform, but if you have an 'on premise' approach, you just have 1 tenant for which you maybe want to setup things. ",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","#Video: Example SaaS automation approach",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","[Video: Example SaaS automation approach](https://www.youtube.com/embed/1PjcTFnC4Mo)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#Each customer gets it own copy of the template with its own data",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","concept behind intro.png Each customer gets it own copy of the template with its own data",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#API automation tasks overview",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","deepDiveGeneration.png API automation tasks overview",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Make sure you checkout the `SAAS PROVISIONING` menu option in the top of the screen.",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","#Engine API",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","##What can you do with the engine API?",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Basically all the things you can do yourself when you use an app
- Open an app
- Insert script
- Copy an app
- Get list of streams and apps
- Get the layout (sheets and charts)
- Reload the app",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","# Video: Introduction to QIX Engine API",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","[Video: Introduction to QIX Engine API](https://youtu.be/S_agrCHLPjo?list=PLW1uf5CQ_gSq0XCJXo0s5_x05L8dJQfEr)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Make sure you also checkout the slides covering the [Engine API](https://integration.qlik.com/?selection=bLzMpCyCgZgtgRhfk)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","See [Qlik help](https://help.qlik.com/en-US/sense-developer/April2018/Subsystems/EngineAPI/Content/introducing-engine-API.htm)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#Engine API use cases and source code",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","# extract the script so you can find/replace the database connection etc.",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","``` var script = await qix.getScript(); ```",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","# and insert the new script back into the app",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","```await qix.setScript(replaceScript(script)) ```",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","# Reload the app",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","```await qix.doReload() ```",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","# Save the app",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","```await qix.doSave(); ```",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","[Source code](https://github.com/QHose/QRSMeteor/blob/master/imports/api/server/QRSFunctionsApp.js#L276)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#What is the QRS REST API?",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","- Basically everything you can do in the Qlik Sense Management Console (QMC):
- copy/delete apps and streams, 
- reload apps, 
- get and update settings like tasks, licences, security, users ....",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","[QRS API help](https://help.qlik.com/en-US/sense-developer/3.1/Subsystems/RepositoryServiceAPI/Content/RepositoryServiceAPI/RepositoryServiceAPI-Introduction.htm)",,,,,,,,,
"Integration.qlik.com demo platform","OEM good practice summary","https://youtu.be/M7EqXI7cZtg",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Make sure you also checkout the slides covering the [QRS API](https://integration.qlik.com/?selection=kF5CgsYKxejLgT9CN)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#API source code examples for typical installation use cases",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","For most examples below we used the `QRS API` wich let you manage all the typical things you would normally do in the management console (QMC)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","[Insert license](https://github.com/QHose/QRSMeteor/blob/master/imports/api/server/QRSFunctionsLicense.js#L27)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Setup [user access rules](https://github.com/QHose/QRSMeteor/blob/master/imports/api/server/QRSFunctionsLicense.js#L62)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Setup [proxy](https://github.com/QHose/QRSMeteor/blob/master/imports/api/server/QPSFunctions.js#L43) via config file definition",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","[Create](https://github.com/QHose/QRSMeteor/blob/master/imports/api/server/QPSFunctions.js#L94) virtual proxies",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Upload [template apps](https://github.com/QHose/QRSMeteor/blob/8f829ef687feaf1cd3802c873b383b04726a4337/imports/api/server/QRSFunctionsApp.js#L67)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Upload [extensions](https://github.com/QHose/QRSMeteor/blob/8f829ef687feaf1cd3802c873b383b04726a4337/imports/api/server/QRSFunctionsExtension.js#L81)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Setup [security rules](https://github.com/QHose/QRSMeteor/blob/8f829ef687feaf1cd3802c873b383b04726a4337/imports/api/server/QRSFunctionsSystemRules.js#L55)",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","> note that if you don't use javascript you can always use our REST or Engine JSON based APIs, or the .NET SDK",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#Security overview",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","## Authentication",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Your goal is to create embedded analytics using the Qlik platform within a multi-tenant SaaS environment, where each of your customers would only have access to their own data. It’s possible for each customer to have a more finely tuned authorization structure. For example, it is possible to provide authorizations for a specific department or country within a dashboard. You’ll see a simple solution in our demonstration where both of our fictitious users, Peter and John, go to the same website, but see different things based on their authorizations. Qlik Sense makes this possible because it uses a dynamic, attribute-based security approach in which we re-use all the pre-existing users and roles from your SaaS platform. This ensures Qlik Sense stays in sync automatically and avoids the overhead of double maintenance.",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Out of the box we support, AD, SAML, JWT, Header. If you use your own method, we recommend the use of 'Qlik Sense ticketing' ",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","architecture - OEM SaaS scenario.png architecture - OEM SaaS scenario",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","##Authorization",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","Based on the user ID and group membership streams, apps and sheets (called ""resources"" in our rule based security model) are either shown or not. Let's say we start simple and each customer can only view their own dashboards. Since we gave each customer their own stream, we can grant access if the name of the stream (the company name) matches the name of the company we received from the website in the ticket./token. This can be controlled by adding 1 row of security configuration: `user.environment.group = resource.name`.",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","securityOverview.png",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","#Architecture",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","## Introduction video",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","https://youtu.be/sv5nKDvmRPI",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","##Integrated architecture design",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","We recommend to make an integrated architecture design in which all aspects are combined. An example can be found below.",,"","","","","         0","0","Technical - 2 hours",
"Integration.qlik.com demo platform","OEM good practice summary","integratedArchitecture.png",,"","","","","         0","0","Technical - 2 hours",
