"Level 1";"Level 2";"Level 3";"Priority";"Progress";"Start";"Due";"Duration (Days)";"Milestone";"Resources";
"Multitenancy APIs";"What is multitenant provisioning?";"A multitenant architecture/deployment approach provides the OEM partner the ability to customize each end customer individually with appropriate configurations, capability settings, and most importantly, many opportunities to flexibly cross-sell/upsell back to each end customer in a personalized fashion – meeting their needs uniquely allowing for different monetization routes.";;;;;;;;
"Multitenancy APIs";"What is multitenant provisioning?";"To summarize: Using Qlik Cloud each end customer will get its own tenant. This is what we call ""a tenant per tenant"".";;;;;;;;
"Multitenancy APIs";"What is multitenant provisioning?";"multitenant architecture.png";;;;;;;;
"Multitenancy APIs";"What is multitenant provisioning?";"[Visit Qlik dev website for a tutorial on how to use the APIs to setup a multitenant environment](https://qlik.dev/tutorials/platform-operations-overview)";;;;;;;;
"Multitenancy APIs";"What is multitenant provisioning?";"# Why does a Multitenant  approach  matter?";;;;;;;;
"Multitenancy APIs";"What is multitenant provisioning?";"Qlik is recommending this approach to all of our OEM partners interested in moving to Qlik Cloud and all new prospects.  It will be a game changer for our OEM partners.
- will enable a faster onboarding to the cloud providing faster time to market,
- With less ongoing development overhead,
- It will provide a clean separation of OEM’s customer tenants and the flexibility to integrate the partner’s solution(s) as needed, etc.
- Again this approach provides that necessary security layer, segregation and data governance with data privacy compliance.";;;;;;;;
"Multitenancy APIs";"What is multitenant provisioning?";"Why does a multitenant approach matter.png";;;;;;;;
"Multitenancy APIs";"Introduction to SaaS APIs";"To support the creation, configuration, and hydration of tenants for end customer onboarding in your applications, this series of tutorials demonstrates how the APIs can be used for:

- Tenant creation
- Tenant configuration
- Content hydration

## Create a new tenant
## Configure the new tenant, including:
  Configure an identity provider, typically either JSON Web Token (JWT) where integrating with existing applications, or an interactive provider such as Azure AD for other use cases
  - Pre-provision groups for access control
- Configure license and role allocations
- Create and configure security on spaces (logical buckets within a tenant for securing content)
- Configure web origin and content security policies for use with integrations or embedding

## Deploy content to the tenant, including:
- Import visualization extensions, themes and other content types required to provide customization of Qlik applications
- Import and stage Qlik applications in a shared space
- Publish staged applications to production managed spaces
- Republish updated applications";;;;;;;;
"Multitenancy APIs";"Introduction to SaaS APIs";"# Multiple tenants approach 
1 tenant per end customer, deployed, configured and hydrated using APIs secured by a single set of credentials";;;;;;;;
"Multitenancy APIs";"Introduction to SaaS APIs";"With a single license you can create multiple tenants (1 for each customer)";;;;;;;;
"Multitenancy APIs";"Introduction to SaaS APIs";"saas - 1 license for multiple tenants.jpg";;;;;;;;
"Multitenancy APIs";"API Walk through - Which APIs are needed to setup an multitenant environment? ";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/saas%20apis%20detailed%20steps.md";;;;;;;;
"Multitenancy APIs";"Automation using the Qlik Command line interface (CLI)";"https://raw.githubusercontent.com/BaptisteDurand/Qlik-CLI-for-OEM_PlatformOperations/main/ReadMe.md";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"Finally we want to call out that a multitenant deployment not only provides an accelerated and easier path to market, but allows our partners to ability to customize their end product as an OEM will have the control to customize what they offer to their end customers – they can differentiate their offerings depending on their end customer requirements providing a more targeted analytics solutions needed, upsell and cross sell as they choose – moving away from a one size fits all paradigm to full customization.";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"With a multitenant approach, the OEM/ISV parent has full control over each end customer/child tenant, centrally managed automation for any number of child/end customer tenants for set-up, hydration including centralized monitoring by the OEM parent tenant as a part of our Qlik monitoring application.  There is control over feature settings in each child or end customer tenant, but again with the required security, governance, robust data segregation needed and ensures compliance with data privacy between end customers.";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"Qlik Monitoring application enabled for multitenant deployment is included but requires an install and configuration.  It will provide the parent OEM tenant visibility into all data spanning an OEM’s customer tenants allowing an OEM to see metrics and information on its entire Qlik Cloud estate or deployment in a single dashboard with line of sight and view into each end customer tenant for usage patterns.";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"control with flexibility.png";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"# OEM Dashboard";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"[Visit Qlik Community for more information about the OEM Dashboard](https://community.qlik.com/t5/Support-Updates/OEM-Dashboard-Qlik-Cloud-Application-Developed/ba-p/1994719)";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"OEM dashboard.png";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"# Monitoring apps";;;;;;;;
"Multitenancy APIs";"Control with flexibility";"monitoring apps.png";;;;;;;;
"Qlik Application Automation";"Introduction";"Qlik Application Automation lets you visually assemble flows that work with market leading SaaS applications to invoke downstream processes that react to changes in your business. Consequently you spend less time programming back-office workflows and more time driving insights.";;;;;;;;
"Qlik Application Automation";"Introduction";"[Qlik App Automation - Brief Overview and Demo](https://youtu.be/5ycYndC_PXs?list=PLkRFvjyuHFvIcy-KzdA4y6CIF8n34P4OO)";;;;;;;;
"Qlik Application Automation";"Introduction";"[View the whole playlist](https://www.youtube.com/watch?v=5ycYndC_PXs&list=PLkRFvjyuHFvIcy-KzdA4y6CIF8n34P4OO)";;;;;;;;
"Web videos";;;;;;;;;;
"Web";"Introduction to web integration";"https://raw.githubusercontent.com/jackBrioschi/integration.Qlikv2/main/Readme_Analytics_Modernization.md";;;;;;;;
"Web";"Source code example - IFrame a sheet using JWT for the Single Sign On";"https://raw.githubusercontent.com/QHose/qlik-cloud-localserver-jwt-IFrame/main/README.md";;;;;;;;
"Licensing";"# High level overview";;;;;;;;;
"Licensing";"The license is shared across all tenants";;;;;;;;;
"Licensing";"All tenants on the license (entitlement) are equal";;;;;;;;;
"Licensing";"# Detailed";;;;;;;;;
"Licensing";"# Principles and components
A license with multiple tenants entitlement:
Ability to create multiple tenants on that entitlement
Ability to create OAuth clients (i.e. credentials) in My Qlik

# Key principles:
1 tenant per end customer + 1 dev/ staging tenant for the OEM partner (so n customer tenants + 1)
Provisioning, configuration and hydration are driven programmatically
No (or minimal, if interactive required) manual intervention required during provisioning
All tenants are created equal

# Key components:
1 Qlik partner : 1 license*
1 license : 1 organization
1 organization : n tenants to support n end customers
1 organization : 1 set of “credentials” per Qlik Cloud region 
1 set of “credentials”: 1 bot user**

";;;;;;;;;
"Embed";"Introduction";"This is a placeholder for the Qlik Sense SaaS demo that will follow shortly. You will see content from client managed, which will also work with SaaS. ";;;;;;;;
"Embed";"Embedding (Client Managed placeholder) demo";"iframe https://saasdemo.qlik.com";;;;;;;;
"Self service content creation (embedded)";"Introduction";"On the next slide you will find a live demo. ([Open in full screen](https://integrationdemo2.qlik.com)). We created 4 sample users, each with separate group memberships from ""your SaaS Platform"" which wants to embed Qlik Sense. 
- John, can only display
- Linda, can copy and create private sheets
- Martin, can go to the hub, and create apps and connect to data sources
- Paul, is a customer admin which can maintain the sheets and apps created by the users of your customer (tenant)";;;;;;;;
"Self service content creation (embedded)";"Self service BI demo";"Open demo below in [full screen](https://integrationdemo2.qlik.com)";;;;;;;;
"Self service content creation (embedded)";"Self service BI demo";"iframe https://integrationdemo2.qlik.com";"";"";"";"";"         0";"0";"Introduction - 30 minutes, CTO, Business Analyst, Product Owner";
"Provisioning";"Introduction";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/jvi-automation-demo.md";;;;;;;;
"Provisioning";"Provisioning demo";"iframe https://integrationdemo1.qlik.com This demo shows you how to copy an app (dashboard) which serves as a ""template layout"" for each of your customers. Besides creating a copy, we will also reload the app with data from the customer database.";;;;;;;;
"Migrate value added products";"Value Added Products - overview";"https://raw.githubusercontent.com/malcolmhawes/QlikSenseCM2SaaS/main/Value%20Added%20Products.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Migrate value added products";"Multi-cloud migration";"https://raw.githubusercontent.com/teiching/qlik-integration/main/multicloud.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Migrate security";"Introduction";" https://raw.githubusercontent.com/apamo/QlikSenseCM2SaaS/main/introduction%20to%20Qlik%20Sense%20SaaS%20security.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Migrate security";"From Client Managed Ticketing to Qlik Cloud JWT";"https://raw.githubusercontent.com/apamo/QlikSenseCM2SaaS/main/CM%20Ticketing%20to%20SaaS%20JWT.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Migrate security";"From Client Managed JWT to Qlik Cloud JWT";"https://raw.githubusercontent.com/apamo/QlikSenseCM2SaaS/main/CM%20JWT%20to%20SaaS%20JWT.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Migrate security";"From Client Managed section access to Qlik Sense Enterprise SaaS";"https://raw.githubusercontent.com/apamo/QlikSenseCM2SaaS/main/Section%20Access.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Migrate content";"Introduction";"https://raw.githubusercontent.com/synthdude/CM2Saas/main/intropage.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Migrate content";"How to move Qlik Sense apps to Qlik Cloud";"https://raw.githubusercontent.com/synthdude/CM2Saas/main/README.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Migrate content";"Multi-cloud setup: use  both Client Managed and Qlik Cloud";"https://raw.githubusercontent.com/BaptisteDurand/QlikCloud-MultiTenantMultiCloud/main/README.md";;;;;;;;
"Migrate web";"How to move fast to Qlik Cloud";"https://raw.githubusercontent.com/jackBrioschi/integration.Qlikv2/main/README.md";"";"";"";"";"         0";"0";"Client managed to SaaS";
"Architecture";"Qlik Cloud platform overview";"Qlik Cloud Platform.png";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"The Qlik Active Intelligence Platform is what enables the creation of the analytics data pipeline.  Powered by Qlik Cloud and a rich set of foundational services, it provides all the Data Services and Analytics Services you need to transform raw data into informed action.  It’s the only cloud platform built for Active Intelligence, designed to help organizations shift from a passive set of tools to an active system that delivers information in real-time and compels action. With this open SaaS platform, you also benefit from cloud-agnostic and hybrid deployment options that offer maximum choice and flexibility in how and where you store and analyze data, across one or multiple clouds.";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"[visit Qlik Cloud for an interactive version of this image](https://www.qlik.com/us/products/qlik-cloud)";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"# Data Services";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"Architected for real-time data capture, transformation and analytics-ready data delivery leveraging our unique change data capture approach";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"Supports seamlessly moving real-time data between heterogeneous systems, whether on-premise or across private and vendor run clouds";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"Is complete and automates mappings and schema synchronization through to data warehouse, mart or lake creation, complete with catalog and publishing capabilities to any analytic environment";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"Supports the scale and agility required by enterprise customers alongside key technologies like Snowflake, Microsoft, Google, SAP and Databricks";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"# Analytics Services";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"Unlike SQL based tools, Qlik’s analytics engine provides a unique associative experience which makes it easy to combine data sources, automatically establish related and unrelated data structures which can then be explored without boundaries in real-time, at unprecedented speed. This removes blind spots and creates the peripheral vision needed in today’s uncertain world";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"This is the foundation for best-in-class smart visualization capabilities that support a range of use cases from governed application content and dashboards to self-service authoring. In addition, our augmented analytics provide new ways to interact with data from visual insight generation, natural language search, conversational, collaboration and advanced analytics with Auto ML";;;;;;;;
"Architecture";"Qlik Cloud platform overview";"Finally, putting this into the hands of users inside and outside your organization, irrespective of role or level of data literacy is key, which is why our API first strategy supports embedding analytics in websites, portals and enterprise applications. These APIs also enable an ecosystem of extensions and other technology partners to build and create content on the Qlik Active Intelligence platform. Our intelligent alerting and mobile capabilities put insights into the hands of users wherever they are without losing any of the analytical power of Qlik, and finally our workflow automation moves beyond informing to actually triggering an action";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"SaaS integration charts - Data movement.png";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"# Data";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"This is a typical scenario we use in OEM use cases where we have relatively small data sets for each customer. Using the data gateway - data movement we replicate datasets to a AWS buckets (near realtime data refresh). Each tenant has its own bucket. In this bucket are QVDs (one for each table) that are automatically refreshed using CDC (change data capture) technology. ";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"# Embed";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"As for the Embedded Analytics part, we basically offer two different types of embedding strategies, the embedding via Iframe and the embedding using one of the available JS libraries. Let's see them in details in the next sections.

## IFRAME INTEGRATION
The simplest and by far the most common method of embedding into your solutions analytics built in Qlik Sense SaaS is certainly through the use of an Iframe. An Iframe is generally used to show the content of a web resource, in our case Qlik Sense, within a frame of a web page/main portal.

## JAVASCRIPT INTEGRATION
As you already know from the Introduction section, Qlik Solutions are based on standard web-technologies such as HTML, CSS and Javascript and that makes life easier when dealing with integration scenarios. If we add to this the fact that Qlik provides developers with a complete set of Javascript APIs to connect to the Qlik engine, retrieve a previously created app, retrieve its objects (Charts, Filters, etc...) and render them within a web-based solution, we can say that the integration experience that you have using the Javascript libraries is 360 degrees integration which allows a bi-directional communication between the information and objects contained in your web portal with the information and visualization objects contained in the Qlik apps. You can use it when you typically have an existing portal/web-page and you want to embed Qlik into it. Not only that, with the JS APIs is possible to interact with the Qlik engine by applying selections rather than actions coming from the web components of the html page external to the Qlik Sense server itself. Let's think for example about a button rather than a dropdown menu natively present within your portal. When the user makes a selection of an item from the dropdown menu, you could trigger a call to the Qlik engine that applies a data selection in the application based on the value selected by the user.

In fact, Qlik APIs first approach allows many different level of integration. You can use APIs to extract information from the app data model to represent them within native objects of your solution or, viceversa by interacting with the native components of your solution you can trigger actions on the Qlik associative engine like for example applying a filter on the data that recalculates the Qlik charts in real time once you click on a dropdown menu, rather than a reset of the filters applied so far to the app.";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"# API";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"Qlik Cloud has been built with a set of APIs which allow provisioning, configuration, and hydration of Qlik Cloud tenants to serve automated deployment pipelines alongside your software and customer lifecycles.";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"Qlik Cloud's multitenant deployment pattern is an architecture where a Qlik partner receives a single entitlement (also known as license), which represents an organization inside Qlik Cloud. Within this organization, you can deploy multiple tenants - each a distinct logical instance. Although these tenants are linked to your organization, they are seperate, so you will need to configure and hydrate these tenants independently.";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"multitenant architecture.png";;;;;;;;
"Architecture";"Your platform integrated with Qlik Cloud using the data gateway - data movement";"[Visit Qlik dev website for a tutorial on how to use the APIs to setup a multitenant environment](https://qlik.dev/tutorials/platform-operations-overview)";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"automl introduction image.png";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"Deliver predictive analytics for a variety of “everyday” use cases";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"Auto-generate and refine Machine Learning (ML) models and predictions";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"- Automated Model Creation – Understand key drivers and generate ML models";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"- Predictive Analytics – Generate predictions on forward looking data sets";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"- Decision Planning – Test “what-if” scenarios and evaluate parameters that affect your outcomes";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"Explainable AI – Delivers data at the row level for full explainability of drivers and predictions";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"For analytics teams and analysts";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"[learn more about AutoML](https://www.qlik.com/us/products/qlik-automl)";;;;;;;;
"AutoML";"Qlik AutoML - Machine Learning for analytics teams";"!comment Qlik AutoML (automated machine learning) allows analytics users and teams to easily generate machine learning models, make predictions, and plan decisions– all within an intuitive, code-free user interface.  Data is easily connected and profiled, key drivers are identified in the data set, and models are generated and refined using multiple regression techniques.  Predictions can then made and what-if scenarios tested.  Results are returned with prediction influencer data (Shapley values) at the record-level, explaining why predictions were made and allowing for better planning of decisions and actions.  Data can be easily published into Qlik Sense and other cloud platforms, and models can be integrated using advanced analytics integration for real-time exploratory analysis.  With AutoML, analytics teams can go beyond descriptive analysis to predictive and prescriptive analytics with a detailed understanding that is uniquely powerful when combined with Qlik’s best-in-class, associative exploration.";;;;;;;;
"AutoML";"Example AutoML OEM architecture with Qlik Sense Client Managed";"automl OEM architecture.png";;;;;;;;
"AutoML";"Example AutoML OEM architecture with Qlik Sense Client Managed";"This is a possible scenario in which you use a bucket to store your on premise data. Next, this bucket is also being read by AutoML which runs in Qlik Cloud.  Using a schedule AutoML will process the files in the input bucket and store the results in an output bucket. The output bucket can be a data connection in your Qlik Sense Client managed installation. So you can reload your app as usual now also pointing to this output bucket of AutoML.";;;;;;;;
"Application Lifecycle - from dev. to prod.";"App development using a dev, test, production environment";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/OTAP.md";;;;;;;;
"White labeling";"White Labeling and Branding via APIs";"https://youtu.be/JSty8Fw0YWU";;;;;;;;
"Availability";;;;;;;;;;
"Introduction - Connect to your data (load data)";"What is an app (dashboard)?";"# Introduction to a Qlik Sense App";;;;;;;;
"Introduction - Connect to your data (load data)";"What is an app (dashboard)?";"Apps are task-specific, purpose-built applications. Apps contain data loaded from data sources into our *associative engine* that is interpreted through visualizations.";;;;;;;;
"Introduction - Connect to your data (load data)";"What is an app (dashboard)?";"[A Practical Example of the Associative Difference](https://youtu.be/CuxKfp7PW1o)";;;;;;;;
"Introduction - Connect to your data (load data)";"What is an app (dashboard)?";"app - what is a qvf.png";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"Apps are designed to help you understand data. Data sources can be added to spaces. They are either added from within an app or created in the cloud hub. Their data is then loaded into the app. Associations are made between related data tables. Using the data model, visualizations are added to sheets in the app to interpret the data. Visualizations are charts, tables, and similar representations of data.";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"> Normally you would create an app for each logical part of your software (Finance, HR etc.). Next you would make a data model containing the tables that are needed to answer the business questions. In other words: using a connector you would connect to your source. During an app reload your data is indexed into our Engine. ";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"# Steps to load your data";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"On a high level you need to execute these steps:
- Create a data connector for each source system.
- Select the tables (or JSON/documents...) you need from that source. (For each ""table"" a script will be created under the hood. So in the end each ""thing"" you load will be converted into a table like structure with fields.)
- Next you have to link (associate) the tables using a matching field.
- Next you ""do a reload of the app"" which indexes (copies) the data into a Qlik Sense app.";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"## load data";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"[How to load your data enhanced by AI 2M](https://youtu.be/b2wFIjqV8U8)";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"[Tutorial - Load your data - 7M](https://learning.qlik.com/pluginfile.php/99033/mod_resource/content/9/Load_Data/Load_Data.html)";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"[Overview of data connectors](https://youtu.be/SUN4P9FQwhQ)";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"## associate data";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"[Tutorial - How to connect (associate) your data - 7M](https://learning.qlik.com/pluginfile.php/99046/mod_resource/content/9/Define_Associations/Define_Associations.html)";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"> Note that if you want to have more control you can always use the ""data load editor"". In this way you can view the individual SQL/REST like load statements to prepare and customize your data (ETL). ";;;;;;;;
"Introduction - Connect to your data (load data)";"How to get data into your app?";"https://evaluation.qlik.com/images/data%20-%20app%20load%20data.png";;;;;;;;
"Introduction - Connect to your data (load data)";"What is the Qlik data engine?";"https://raw.githubusercontent.com/QHose/QRSMeteor/Integration-v2/pages/whatisanapp.md";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"# Your challenge?";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"- Your data is on premise behind firewalls
- Your software or Qlik is in the cloud";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"How can you access your data?";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"# Solution 1 - direct access -  leave the data where it is";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"You can choose to leave your data on premise and 
- use *data gateway - direct access*. Now you have access to your data from the cloud without the need to open ports in your firewall
- create a REST API which exposes your on premise data and configure your firewall accordingly.";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"Note: you can always combine on premise data using the gateway and other data sources which are available via REST APIs in your analytics app.";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"# Solution 2 - data movement - replicate the data to a cloud target";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"You can choose to leave your data on premise and use *data gateway - data movement*. Now you can setup a task to keep your tables in sync or be better said ""to be replicated"" to the cloud.  ";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"In the cloud you have 2 options:
- create a QVD per table and use that in Qlik Sense SaaS
- create a table in a cloud database provider";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"For both options you can set a data refresh schedule";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"Now your data is being replicated into the cloud without impacting your source system. ";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"data gateway introduction.png";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"> Operating behind your organization’s firewall, Qlik Data Gateway - Data Movement allows you to move data from your enterprise data sources to cloud targets, over a strictly outbound, encrypted and mutually authenticated connection. By eliminating the need to open inbound firewall ports, Qlik Data Gateway - Data Movement provides a secure and trusted means for accessing your enterprise data.";;;;;;;;
"Data gateway - introduction";"Why use the data gateway?";"Note:  You can use the more traditional approach and open ports in your firewall and let Qlik Sense load data via a REST API as usual. But this is not recommended for security reasons. ";;;;;;;;
"Data gateway - direct access";"Qlik Data gateway - Direct access";"Qlik Data Gateway - Direct Access provides an encrypted connection to Qlik Cloud , allowing Qlik Sense SaaS applications to securely access and analyze data that resides behind your organization's firewall, without compromising your enterprises' network security.";;;;;;;;
"Data gateway - direct access";"Qlik Data gateway - Direct access";"No matter if your protected data is on-premises or in a virtual private cloud, Qlik Data Gateway - Direct Access provides a sure way to analyze that data in Qlik Sense SaaS safely and securely.";;;;;;;;
"Data gateway - direct access";"Qlik Data gateway - Direct access";"[Check out our Overview and Demo video](https://videos.qlik.com/watch/P6VidB5S88aTY4L5GAYXvu?&_ga=2.223879645.714289542.1661217538-1234046203.1646404033)";;;;;;;;
"Data gateway - direct access";"Qlik Data gateway - Direct access";"[Try Direct Access today with our demo app.](https://webapps.qlik.com/direct-access/index.html)";;;;;;;;
"Data gateway - direct access";"Qlik Data gateway - Direct access";"[To set up your Data Gateway, follow these deployment instructions.](https://help.qlik.com/en-US/video/Z6buZY5r8MeGtyeqeYffBh)";;;;;;;;
"Data gateway - direct access";"Qlik Data gateway - Direct access";"[Detailed capabilities shared on our Product Innovation Blog](https://community.qlik.com/t5/Product-Innovation/Securely-access-data-behind-a-firewall-or-VPC-with-Qlik-Data/ba-p/1971477)";;;;;;;;
"Data gateway - direct access";"Qlik Data gateway - Direct access";"direct access connector.png";;;;;;;;
"Data gateway - direct access";"Qlik Data gateway - Direct access";"https://www.youtube.com/watch?v=wVNckBOGGww&t=2s";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"If you don't want to or can't replicate your data to a cloud database or Qlik cloud you can also leave your data on premise";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"Now you have 2 options:
- Using the direct access gateway you can connect to your source database like they were on premise (firewall closed for inbound connections) or 
- you can use your existing REST API (firewall open for this REST API port). ";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"This means you can still do a full load or a delta load like you did before (with Qlik Sense Client Managed)";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"# Data  gateway - direct access";;;;;;;;
"Data gateway - direct access";"Common OEM use case with direct access";"Now you have 3 options:
- Install a gateway per tenant
- Use source tenant to *move apps* (QVF)
- Use source tenant to *move tables* (QVD)";;;;;;;;
